مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
123,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,SYP
124,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,1٬965٬561٫81,SYP
125,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,2٬108٬454٫20,SYP
126,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,SYP
127,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,SYP
128,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,SYP
129,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,SYP
130,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,0٫00,SYP
131,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,3٬858٬408٫13,SYP
132,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,SYP
133,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,0٫00,USD
134,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,0٫00,USD
135,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 25 - 26,0٫00,USD
136,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,USD
137,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,0٫00,USD
138,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,0٫00,USD
139,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 23 - 24,0٫00,USD
140,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 24 - 25,0٫00,USD
141,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,النقل,العام الدراسي 25 - 26,0٫00,USD
142,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 23 - 24,0٫00,USD
143,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 24 - 25,0٫00,USD
144,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,أخرى,العام الدراسي 25 - 26,0٫00,USD
145,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,غير معبأة,SYP
146,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,غير معبأة,SYP
147,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,غير معبأة,SYP
148,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,غير معبأة,SYP
149,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,غير معبأة,SYP
150,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,غير معبأة,SYP
151,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,غير معبأة,SYP
152,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,غير معبأة,SYP
153,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,غير معبأة,SYP
154,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,غير معبأة,SYP
155,قاسيون,جامعة قاسيون الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,غير معبأة,SYP
